"subject","event","date","memory","negative","positive","surprise","covid","datePlot"
145,"olsenDivorce","May",0,0,0,0,0,"MAY"
145,"presBiden","November",70,20,0,65,0,"NOV"
145,"presDebates","October",0,0,0,0,0,"OCT"
145,"primaryNH","February",0,0,0,0,0,"FEB"
145,"secondStim","December",72,0,80,62,0,"DEC"
145,"soleimani","January",0,0,0,0,0,"JAN"
145,"thomBrenn","August",0,0,0,0,0,"AUG"
145,"toobinZoom","October",0,0,0,0,0,"OCT"
145,"trumpFraud","November",75,0,0,10,0,"NOV"
145,"trumpInterview","September",0,0,0,0,0,"SEP"
146,"BLM","June",100,10,78,76,0,"JUN"
146,"NFL","April",1,4,1,59,0,"APR"
146,"RBG","September",100,92,1,63,0,"SEP"
146,"baldwin","December",1,94,1,94,0,"DEC"
146,"barronTrump","June",42,26,64,58,0,"JUN"
146,"borisJCovid","April",100,1,27,12,0,"APR"
146,"caucusNV","February",6,1,81,27,0,"FEB"
146,"covid","March",100,90,19,85,1,"MAR"
146,"falwell","August",1,57,1,50,0,"AUG"
146,"firstStim","March",100,1,100,100,0,"MAR"
146,"georgeFloyd","May",100,100,1,75,0,"MAY"
146,"jadaSmith","July",1,82,1,86,0,"JUL"
146,"kobe","January",100,100,1,100,0,"JAN"
146,"nayaRivera","July",100,100,1,100,0,"JUL"
146,"olsenDivorce","May",1,89,1,28,0,"MAY"
146,"presBiden","November",100,1,100,78,0,"NOV"
146,"presDebates","October",30,14,14,2,0,"OCT"
146,"primaryNH","February",16,1,92,54,0,"FEB"
146,"secondStim","December",100,1,100,100,0,"DEC"
146,"soleimani","January",1,16,1,13,0,"JAN"
146,"thomBrenn","August",1,100,1,77,0,"AUG"
146,"toobinZoom","October",1,72,1,59,0,"OCT"
146,"trumpFraud","November",93,87,1,27,0,"NOV"
146,"trumpInterview","September",13,95,2,3,0,"SEP"
147,"BLM","June",100,20,12,29,0,"JUN"
147,"NFL","April",39,0,60,8,0,"APR"
147,"RBG","September",100,76,0,85,0,"SEP"
147,"baldwin","December",0,0,0,0,0,"DEC"
147,"barronTrump","June",0,0,0,0,0,"JUN"
147,"borisJCovid","April",30,0,0,0,0,"APR"
147,"caucusNV","February",0,0,0,0,0,"FEB"
147,"covid","March",100,78,0,81,1,"MAR"
147,"falwell","August",0,0,0,0,0,"AUG"
