"subject","event1","event2","actualDist","value","bothMem","respProp","actProp","propDiff","propAbsDiff","pairOrder","avgMem","avgSurp","avgPos","avgNeg","distFactor","lockdownFactor"
107,"georgeFloyd","RBG",116,69,1,0.69,0.317808219178082,0.372191780821918,0.372191780821918,0,74,58,18.5,21.5,1,"al"
107,"georgeFloyd","trumpFraud",166,39,1,0.39,0.454794520547945,-0.0647945205479452,0.0647945205479452,1,90,33.5,18,49.5,1,"al"
107,"kobe","covid",44,51,1,0.51,0.120547945205479,0.389452054794521,0.389452054794521,1,80,78,39,5.5,0,"bl"
107,"kobe","firstStim",60,48,1,0.48,0.164383561643836,0.315616438356164,0.315616438356164,1,71.5,68.5,40,1.5,0,"bl"
107,"kobe","RBG",235,39,1,0.39,0.643835616438356,-0.253835616438356,0.253835616438356,0,64.5,57,1.5,12.5,1,"l"
107,"RBG","presBiden",51,20,1,0.2,0.13972602739726,0.0602739726027397,0.0602739726027397,1,62.5,39.5,36.5,12,0,"al"
107,"soleimani","BLM",148,32,1,0.32,0.405479452054795,-0.0854794520547945,0.0854794520547945,1,39.5,34,19.5,11,1,"l"
107,"soleimani","covid",67,32,1,0.32,0.183561643835616,0.136438356164384,0.136438356164384,1,49,47,47.5,5,0,"bl"
108,"covid","BLM",82,40,1,0.4,0.224657534246575,0.175342465753425,0.175342465753425,0,75,15,0,45.5,0,"l"
108,"covid","presBiden",241,30,1,0.3,0.66027397260274,-0.36027397260274,0.36027397260274,1,100,57.5,50,45.5,1,"l"
108,"firstStim","georgeFloyd",59,22,1,0.22,0.161643835616438,0.0583561643835616,0.0583561643835616,1,100,30,45,47.5,0,"l"
108,"georgeFloyd","RBG",116,60,1,0.6,0.317808219178082,0.282191780821918,0.282191780821918,1,100,65,0,87.5,1,"al"
108,"georgeFloyd","trumpFraud",166,61,1,0.61,0.454794520547945,0.155205479452055,0.155205479452055,1,100,20,0,93,1,"al"
108,"kobe","covid",44,14,1,0.14,0.120547945205479,0.0194520547945206,0.0194520547945206,1,100,65,0,70.5,0,"bl"
108,"kobe","firstStim",60,20,1,0.2,0.164383561643836,0.0356164383561644,0.0356164383561644,1,100,60,45,25,0,"bl"
108,"kobe","RBG",235,60,1,0.6,0.643835616438356,-0.0438356164383562,0.0438356164383562,1,100,95,0,65,1,"l"
108,"RBG","presBiden",51,20,1,0.2,0.13972602739726,0.0602739726027397,0.0602739726027397,1,100,87.5,50,40,0,"al"
108,"soleimani","BLM",148,62,0,0.62,0.405479452054795,0.214520547945205,0.214520547945205,NA,25,0,0,0,1,"l"
108,"soleimani","covid",67,70,0,0.7,0.183561643835616,0.516438356164383,0.516438356164383,NA,50,15,0,45.5,0,"bl"
109,"covid","BLM",82,81,1,0.81,0.224657534246575,0.585342465753425,0.585342465753425,1,95.5,71,25,51.5,0,"l"
109,"covid","presBiden",241,52,1,0.52,0.66027397260274,-0.14027397260274,0.14027397260274,1,100,35,60.5,19.5,1,"l"
109,"firstStim","georgeFloyd",59,26,1,0.26,0.161643835616438,0.0983561643835617,0.0983561643835617,1,97.5,60,50,50,0,"l"
109,"georgeFloyd","RBG",116,35,1,0.35,0.317808219178082,0.0321917808219178,0.0321917808219178,0,97.5,70,12.5,85,1,"al"
