"date","topic","entryCount","topic_totalCount","topic_monthCount","topic_propTopic","topic_propMonth","set","entryCount_total","topic_propTotal","datePlot"
"April","social",80,1274,403,0.062794349,0.198511166,"2020",5077,0.0157573370100453,"APR"
"April","occupation",106,1050,403,0.100952381,0.263027295,"2020",5077,0.02087847153831,"APR"
"April","election",7,283,403,0.024734982,0.017369727,"2020",5077,0.00137876698837896,"APR"
"April","domestic",9,161,403,0.055900621,0.022332506,"2020",5077,0.0017727004136301,"APR"
"April","BLM",6,74,403,0.081081081,0.014888337,"2020",5077,0.0011818002757534,"APR"
"April","covid-onset",8,51,403,0.156862745,0.019851117,"2020",5077,0.00157573370100453,"APR"
"May","covid",110,1854,317,0.059331176,0.347003155,"2020",5077,0.0216663383888123,"MAY"
"May","social",83,1274,317,0.065149137,0.261829653,"2020",5077,0.016348237147922,"MAY"
"May","occupation",82,1050,317,0.078095238,0.258675079,"2020",5077,0.0161512704352964,"MAY"
"May","election",5,283,317,0.017667845,0.015772871,"2020",5077,0.000984833563127831,"MAY"
"May","domestic",11,161,317,0.068322981,0.034700315,"2020",5077,0.00216663383888123,"MAY"
"May","BLM",23,74,317,0.310810811,0.072555205,"2020",5077,0.00453023439038802,"MAY"
"May","covid-onset",3,51,317,0.058823529,0.009463722,"2020",5077,0.000590900137876699,"MAY"
"June","covid",106,1854,319,0.057173679,0.332288401,"2020",5077,0.02087847153831,"JUN"
"June","social",90,1274,319,0.070643642,0.282131661,"2020",5077,0.017727004136301,"JUN"
"June","occupation",78,1050,319,0.074285714,0.244514107,"2020",5077,0.0153634035847942,"JUN"
"June","election",8,283,319,0.028268551,0.02507837,"2020",5077,0.00157573370100453,"JUN"
"June","domestic",16,161,319,0.099378882,0.05015674,"2020",5077,0.00315146740200906,"JUN"
"June","BLM",20,74,319,0.27027027,0.062695925,"2020",5077,0.00393933425251133,"JUN"
"June","covid-onset",1,51,319,0.019607843,0.003134796,"2020",5077,0.000196966712625566,"JUN"
"July","covid",96,1854,312,0.051779935,0.307692308,"2020",5077,0.0189088044120544,"JUL"
"July","social",131,1274,312,0.102825746,0.419871795,"2020",5077,0.0258026393539492,"JUL"
"July","occupation",66,1050,312,0.062857143,0.211538462,"2020",5077,0.0129998030332874,"JUL"
"July","election",3,283,312,0.010600707,0.009615385,"2020",5077,0.000590900137876699,"JUL"
"July","domestic",10,161,312,0.062111801,0.032051282,"2020",5077,0.00196966712625566,"JUL"
"July","BLM",6,74,312,0.081081081,0.019230769,"2020",5077,0.0011818002757534,"JUL"
"July","covid-onset",0,51,312,0,0,"2020",5077,0,"JUL"
"August","covid",83,1854,281,0.044768069,0.295373665,"2020",5077,0.016348237147922,"AUG"
"August","social",91,1274,281,0.071428571,0.323843416,"2020",5077,0.0179239708489265,"AUG"
"August","occupation",71,1050,281,0.067619048,0.252669039,"2020",5077,0.0139846365964152,"AUG"
"August","election",9,283,281,0.03180212,0.03202847,"2020",5077,0.0017727004136301,"AUG"
"August","domestic",25,161,281,0.155279503,0.088967972,"2020",5077,0.00492416781563916,"AUG"
"August","BLM",2,74,281,0.027027027,0.007117438,"2020",5077,0.000393933425251133,"AUG"
"August","covid-onset",0,51,281,0,0,"2020",5077,0,"AUG"
"September","covid",85,1854,262,0.045846818,0.324427481,"2020",5077,0.0167421705731731,"SEP"
"September","social",84,1274,262,0.065934066,0.320610687,"2020",5077,0.0165452038605476,"SEP"
"September","occupation",57,1050,262,0.054285714,0.217557252,"2020",5077,0.0112271026196573,"SEP"
"September","election",16,283,262,0.056537102,0.061068702,"2020",5077,0.00315146740200906,"SEP"
"September","domestic",16,161,262,0.099378882,0.061068702,"2020",5077,0.00315146740200906,"SEP"
"September","BLM",1,74,262,0.013513514,0.003816794,"2020",5077,0.000196966712625566,"SEP"
"September","covid-onset",3,51,262,0.058823529,0.011450382,"2020",5077,0.000590900137876699,"SEP"
"October","covid",83,1854,265,0.044768069,0.313207547,"2020",5077,0.016348237147922,"OCT"
"October","social",107,1274,265,0.083987441,0.403773585,"2020",5077,0.0210754382509356,"OCT"
"October","occupation",38,1050,265,0.036190476,0.143396226,"2020",5077,0.00748473507977152,"OCT"
"October","election",20,283,265,0.070671378,0.075471698,"2020",5077,0.00393933425251133,"OCT"
"October","domestic",10,161,265,0.062111801,0.037735849,"2020",5077,0.00196966712625566,"OCT"
"October","BLM",4,74,265,0.054054054,0.01509434,"2020",5077,0.000787866850502265,"OCT"
"October","covid-onset",3,51,265,0.058823529,0.011320755,"2020",5077,0.000590900137876699,"OCT"
"November","covid",141,1854,486,0.07605178,0.290123457,"2020",5077,0.0277723064802048,"NOV"
"November","social",147,1274,486,0.115384615,0.302469136,"2020",5077,0.0289541067559582,"NOV"
"November","occupation",53,1050,486,0.05047619,0.109053498,"2020",5077,0.010439235769155,"NOV"
"November","election",132,283,486,0.466431095,0.271604938,"2020",5077,0.0259996060665747,"NOV"
"November","domestic",11,161,486,0.068322981,0.022633745,"2020",5077,0.00216663383888123,"NOV"
