"subject","event","month","response","error","absError","covid"
6,"secondStim","December",7,-5,5,0
7,"kobe","January",2,1,1,0
7,"soleimani","January",10,9,9,0
7,"caucusNV","February",5,3,3,0
7,"primaryNH","February",5,3,3,0
7,"covid","March",3,0,0,1
7,"firstStim","March",6,3,3,0
7,"borisJCovid","April",10,6,6,0
7,"georgeFloyd","May",9,4,4,0
7,"BLM","June",9,3,3,0
7,"nayaRivera","July",6,-1,1,0
7,"trumpInterview","September",9,0,0,0
7,"RBG","September",6,-3,3,0
7,"presDebates","October",9,-1,1,0
7,"presBiden","November",11,0,0,0
7,"trumpFraud","November",11,0,0,0
7,"secondStim","December",12,0,0,0
8,"kobe","January",6,5,5,0
8,"soleimani","January",7,6,6,0
8,"covid","March",3,0,0,1
8,"firstStim","March",5,2,2,0
8,"borisJCovid","April",6,2,2,0
8,"georgeFloyd","May",5,0,0,0
8,"BLM","June",5,-1,1,0
8,"barronTrump","June",1,-5,5,0
8,"jadaSmith","July",7,0,0,0
8,"nayaRivera","July",6,-1,1,0
8,"RBG","September",8,-1,1,0
8,"presDebates","October",8,-2,2,0
8,"presBiden","November",11,0,0,0
8,"trumpFraud","November",11,0,0,0
8,"secondStim","December",10,-2,2,0
9,"kobe","January",3,2,2,0
9,"soleimani","January",6,5,5,0
9,"caucusNV","February",2,0,0,0
9,"primaryNH","February",2,0,0,0
9,"covid","March",4,1,1,1
9,"firstStim","March",7,4,4,0
9,"borisJCovid","April",7,3,3,0
9,"NFL","April",6,2,2,0
9,"georgeFloyd","May",5,0,0,0
9,"BLM","June",6,0,0,0
9,"barronTrump","June",3,-3,3,0
9,"nayaRivera","July",7,0,0,0
9,"trumpInterview","September",9,0,0,0
9,"RBG","September",3,-6,6,0
9,"presDebates","October",9,-1,1,0
9,"presBiden","November",11,0,0,0
9,"trumpFraud","November",11,0,0,0
9,"baldwin","December",2,-10,10,0
9,"secondStim","December",10,-2,2,0
10,"kobe","January",2,1,1,0
10,"soleimani","January",4,3,3,0
10,"caucusNV","February",4,2,2,0
10,"primaryNH","February",8,6,6,0
10,"covid","March",12,9,9,1
10,"firstStim","March",6,3,3,0
