"subject","pair","event1","event2","actualDist","value","bothMem","respProp","actProp","propDiff","propAbsDiff","shortFactor","lockdownFactor","event1_month","event2_month","eventDiff","pairOrder","avgMem","avgSurp","avgPos","avgNeg","covidFactor"
143,"kobe firstStim","kobe","firstStim",60,20,1,0.2,0.164383561643836,0.0356164383561644,0.0356164383561644,0,"bl",1,4,3,1,100,100,50,50,"bc"
143,"kobe RBG","kobe","RBG",235,100,1,1,0.643835616438356,0.356164383561644,0.356164383561644,1,"l",1,9,8,1,100,100,0,65,NA
143,"RBG presBiden","RBG","presBiden",51,10,1,0.1,0.13972602739726,-0.0397260273972603,0.0397260273972603,0,"al",9,11,2,1,100,100,50,15,"ac"
143,"soleimani BLM","soleimani","BLM",148,51,1,0.51,0.405479452054795,0.104520547945205,0.104520547945205,1,"l",2,5,3,1,79.5,100,80,25.5,NA
143,"soleimani covid","soleimani","covid",67,29,1,0.29,0.183561643835616,0.106438356164384,0.106438356164384,0,"bl",2,3,1,1,79.5,100,30,75.5,"bc"
144,"covid BLM","covid","BLM",82,25,1,0.25,0.224657534246575,0.0253424657534247,0.0253424657534247,0,"l",3,6,3,1,65,43,5.5,41,"ac"
144,"covid presBiden","covid","presBiden",241,81,1,0.81,0.66027397260274,0.14972602739726,0.14972602739726,1,"l",3,11,8,1,90,68,45,46,NA
144,"firstStim georgeFloyd","firstStim","georgeFloyd",59,20,1,0.2,0.161643835616438,0.0383561643835617,0.0383561643835617,0,"l",4,4,0,1,61,31,36,43,"ac"
144,"georgeFloyd RBG","georgeFloyd","RBG",116,72,1,0.72,0.317808219178082,0.402191780821918,0.402191780821918,1,"al",4,5,1,1,81,43,0,93,NA
144,"georgeFloyd trumpFraud","georgeFloyd","trumpFraud",166,36,1,0.36,0.454794520547945,-0.0947945205479452,0.0947945205479452,1,"al",4,11,7,1,47.5,17.5,2,48.5,NA
144,"kobe covid","kobe","covid",44,10,1,0.1,0.120547945205479,-0.0205479452054795,0.0205479452054795,0,"bl",2,3,1,1,90.5,93,0,66,"bc"
144,"kobe firstStim","kobe","firstStim",60,21,1,0.21,0.164383561643836,0.0456164383561644,0.0456164383561644,0,"bl",2,4,2,1,66,65,36,25,"bc"
144,"kobe RBG","kobe","RBG",235,71,1,0.71,0.643835616438356,0.0661643835616438,0.0661643835616438,1,"l",2,5,3,1,86,77,0,75,NA
144,"RBG presBiden","RBG","presBiden",51,73,1,0.73,0.13972602739726,0.59027397260274,0.59027397260274,0,"al",5,11,6,1,85.5,52,45,55,"ac"
144,"soleimani BLM","soleimani","BLM",148,39,1,0.39,0.405479452054795,-0.0154794520547945,0.0154794520547945,1,"l",9,6,-3,0,35.5,6,5.5,23,NA
144,"soleimani covid","soleimani","covid",67,71,1,0.71,0.183561643835616,0.526438356164384,0.526438356164384,0,"bl",9,3,-6,0,70.5,49,0,64,"bc"
145,"covid BLM","covid","BLM",82,40,1,0.4,0.224657534246575,0.175342465753425,0.175342465753425,0,"l",3,11,8,1,65,61.5,10,49,"ac"
145,"covid presBiden","covid","presBiden",241,90,1,0.9,0.66027397260274,0.23972602739726,0.23972602739726,1,"l",3,11,8,1,72.5,76,0,27.5,NA
145,"firstStim georgeFloyd","firstStim","georgeFloyd",59,59,1,0.59,0.161643835616438,0.428356164383562,0.428356164383562,0,"l",3,8,5,1,70,64,42.5,33.5,"ac"
145,"georgeFloyd RBG","georgeFloyd","RBG",116,68,1,0.68,0.317808219178082,0.362191780821918,0.362191780821918,1,"al",8,9,1,1,85,47,0,46,NA
145,"georgeFloyd trumpFraud","georgeFloyd","trumpFraud",166,74,1,0.74,0.454794520547945,0.285205479452055,0.285205479452055,1,"al",8,11,3,1,72.5,37,0,33.5,NA
145,"kobe covid","kobe","covid",44,50,1,0.5,0.120547945205479,0.379452054794521,0.379452054794521,0,"bl",7,3,-4,0,80,93.5,0,60,"bc"
145,"kobe firstStim","kobe","firstStim",60,60,1,0.6,0.164383561643836,0.435616438356164,0.435616438356164,0,"bl",7,3,-4,0,77.5,82,42.5,42.5,"bc"
145,"kobe RBG","kobe","RBG",235,61,1,0.61,0.643835616438356,-0.0338356164383562,0.0338356164383562,1,"l",7,9,2,1,92.5,65,0,55,NA
145,"RBG presBiden","RBG","presBiden",51,68,1,0.68,0.13972602739726,0.54027397260274,0.54027397260274,0,"al",9,11,2,1,85,47.5,0,22.5,"ac"
145,"soleimani BLM","soleimani","BLM",148,50,0,0.5,0.405479452054795,0.0945205479452055,0.0945205479452055,1,"l",NA,11,NA,NA,27.5,18,10,31.5,NA
145,"soleimani covid","soleimani","covid",67,45,0,0.45,0.183561643835616,0.266438356164384,0.266438356164384,0,"bl",NA,3,NA,NA,37.5,43.5,0,17.5,"bc"
146,"covid BLM","covid","BLM",82,57,1,0.57,0.224657534246575,0.345342465753425,0.345342465753425,0,"l",2,2,0,1,100,80.5,48.5,50,"ac"
146,"covid presBiden","covid","presBiden",241,65,1,0.65,0.66027397260274,-0.0102739726027397,0.0102739726027397,1,"l",2,11,9,1,100,81.5,59.5,45.5,NA
146,"firstStim georgeFloyd","firstStim","georgeFloyd",59,59,1,0.59,0.161643835616438,0.428356164383562,0.428356164383562,0,"l",3,11,8,1,100,87.5,50.5,50.5,"ac"
146,"georgeFloyd RBG","georgeFloyd","RBG",116,44,1,0.44,0.317808219178082,0.122191780821918,0.122191780821918,1,"al",11,8,-3,0,100,69,1,96,NA
146,"georgeFloyd trumpFraud","georgeFloyd","trumpFraud",166,47,1,0.47,0.454794520547945,0.0152054794520547,0.0152054794520547,1,"al",11,4,-7,0,96.5,51,1,93.5,NA
146,"kobe covid","kobe","covid",44,41,1,0.41,0.120547945205479,0.289452054794521,0.289452054794521,0,"bl",2,2,0,1,100,92.5,10,95,"bc"
146,"kobe firstStim","kobe","firstStim",60,42,1,0.42,0.164383561643836,0.255616438356164,0.255616438356164,0,"bl",2,3,1,1,100,100,50.5,50.5,"bc"
146,"kobe RBG","kobe","RBG",235,79,1,0.79,0.643835616438356,0.146164383561644,0.146164383561644,1,"l",2,8,6,1,100,81.5,1,96,NA
146,"RBG presBiden","RBG","presBiden",51,36,1,0.36,0.13972602739726,0.22027397260274,0.22027397260274,0,"al",8,11,3,1,100,70.5,50.5,46.5,"ac"
146,"soleimani BLM","soleimani","BLM",148,72,1,0.72,0.405479452054795,0.314520547945205,0.314520547945205,1,"l",3,2,-1,0,50.5,44.5,39.5,13,NA
146,"soleimani covid","soleimani","covid",67,35,1,0.35,0.183561643835616,0.166438356164384,0.166438356164384,0,"bl",3,2,-1,0,50.5,49,10,53,"bc"
147,"covid BLM","covid","BLM",82,70,1,0.7,0.224657534246575,0.475342465753425,0.475342465753425,0,"l",3,6,3,1,100,55,6,49,"ac"
147,"covid presBiden","covid","presBiden",241,65,1,0.65,0.66027397260274,-0.0102739726027397,0.0102739726027397,1,"l",3,11,8,1,100,45,50,39,NA
147,"firstStim georgeFloyd","firstStim","georgeFloyd",59,26,1,0.26,0.161643835616438,0.0983561643835617,0.0983561643835617,0,"l",7,5,-2,0,100,46,50,50,"ac"
147,"georgeFloyd RBG","georgeFloyd","RBG",116,35,1,0.35,0.317808219178082,0.0321917808219178,0.0321917808219178,1,"al",5,6,1,1,100,82.5,0,88,NA
147,"georgeFloyd trumpFraud","georgeFloyd","trumpFraud",166,40,1,0.4,0.454794520547945,-0.0547945205479452,0.0547945205479452,1,"al",5,11,6,1,100,44.5,0,100,NA
147,"kobe covid","kobe","covid",44,9,1,0.09,0.120547945205479,-0.0305479452054795,0.0305479452054795,0,"bl",2,3,1,1,100,90.5,0,89,"bc"
147,"kobe firstStim","kobe","firstStim",60,51,1,0.51,0.164383561643836,0.345616438356164,0.345616438356164,0,"bl",2,7,5,1,100,56,50,50,"bc"
147,"kobe RBG","kobe","RBG",235,81,1,0.81,0.643835616438356,0.166164383561644,0.166164383561644,1,"l",2,6,4,1,100,92.5,0,88,NA
147,"RBG presBiden","RBG","presBiden",51,63,1,0.63,0.13972602739726,0.49027397260274,0.49027397260274,0,"al",6,11,5,1,100,47,50,38,"ac"
147,"soleimani BLM","soleimani","BLM",148,50,0,0.5,0.405479452054795,0.0945205479452055,0.0945205479452055,1,"l",NA,6,NA,NA,50,14.5,6,10,NA
147,"soleimani covid","soleimani","covid",67,69,0,0.69,0.183561643835616,0.506438356164383,0.506438356164383,0,"bl",NA,3,NA,NA,50,40.5,0,39,"bc"
148,"covid BLM","covid","BLM",82,30,1,0.3,0.224657534246575,0.0753424657534247,0.0753424657534247,0,"l",3,5,2,1,100,50,50,50,"ac"
148,"covid presBiden","covid","presBiden",241,80,1,0.8,0.66027397260274,0.13972602739726,0.13972602739726,1,"l",3,11,8,1,97.5,97.5,25,75,NA
148,"firstStim georgeFloyd","firstStim","georgeFloyd",59,20,1,0.2,0.161643835616438,0.0383561643835617,0.0383561643835617,0,"l",5,5,0,1,80,50,50,50,"ac"
148,"georgeFloyd RBG","georgeFloyd","RBG",116,40,1,0.4,0.317808219178082,0.0821917808219178,0.0821917808219178,1,"al",5,9,4,1,85,15,0,50,NA
148,"georgeFloyd trumpFraud","georgeFloyd","trumpFraud",166,60,1,0.6,0.454794520547945,0.145205479452055,0.145205479452055,1,"al",5,11,6,1,100,0,0,100,NA
148,"kobe covid","kobe","covid",44,70,1,0.7,0.120547945205479,0.579452054794521,0.579452054794521,0,"bl",8,3,-5,0,100,100,0,100,"bc"
148,"kobe firstStim","kobe","firstStim",60,60,1,0.6,0.164383561643836,0.435616438356164,0.435616438356164,0,"bl",8,5,-3,0,80,100,50,50,"bc"
148,"kobe RBG","kobe","RBG",235,15,1,0.15,0.643835616438356,-0.493835616438356,0.493835616438356,1,"l",8,9,1,1,85,65,0,50,NA
148,"RBG presBiden","RBG","presBiden",51,39,1,0.39,0.13972602739726,0.25027397260274,0.25027397260274,0,"al",9,11,2,1,82.5,62.5,25,25,"ac"
148,"soleimani BLM","soleimani","BLM",148,40,1,0.4,0.405479452054795,-0.0054794520547945,0.0054794520547945,1,"l",1,5,4,1,90,45,50,0,NA
148,"soleimani covid","soleimani","covid",67,5,1,0.05,0.183561643835616,-0.133561643835616,0.133561643835616,0,"bl",1,3,2,1,90,95,0,50,"bc"
149,"covid BLM","covid","BLM",82,7,1,0.07,0.224657534246575,-0.154657534246575,0.154657534246575,0,"l",3,3,0,1,95.5,49.5,1,74,"ac"
149,"covid presBiden","covid","presBiden",241,72,1,0.72,0.66027397260274,0.0597260273972603,0.0597260273972603,1,"l",3,11,8,1,97,37,43.5,40.5,NA
149,"firstStim georgeFloyd","firstStim","georgeFloyd",59,61,1,0.61,0.161643835616438,0.448356164383562,0.448356164383562,0,"l",8,3,-5,0,83.5,30.5,30.5,46,"ac"
149,"georgeFloyd RBG","georgeFloyd","RBG",116,40,1,0.4,0.317808219178082,0.0821917808219178,0.0821917808219178,1,"al",3,4,1,1,82.5,56,0,68.5,NA
149,"georgeFloyd trumpFraud","georgeFloyd","trumpFraud",166,65,1,0.65,0.454794520547945,0.195205479452055,0.195205479452055,1,"al",3,11,8,1,92.5,24,0,90.5,NA
149,"kobe covid","kobe","covid",44,34,1,0.34,0.120547945205479,0.219452054794521,0.219452054794521,0,"bl",7,3,-4,0,90,67.5,1,62.5,"bc"
149,"kobe firstStim","kobe","firstStim",60,26,1,0.26,0.164383561643836,0.0956164383561644,0.0956164383561644,0,"bl",7,8,1,1,76,51.5,30.5,27,"bc"
149,"kobe RBG","kobe","RBG",235,65,1,0.65,0.643835616438356,0.00616438356164384,0.00616438356164384,1,"l",7,4,-3,0,75,77,0,49.5,NA
149,"RBG presBiden","RBG","presBiden",51,53,1,0.53,0.13972602739726,0.39027397260274,0.39027397260274,0,"al",4,11,7,1,82,46.5,42.5,27.5,"ac"
149,"soleimani BLM","soleimani","BLM",148,46,0,0.46,0.405479452054795,0.0545205479452055,0.0545205479452055,1,"l",NA,3,NA,NA,45.5,27,0,38.5,NA
149,"soleimani covid","soleimani","covid",67,29,0,0.29,0.183561643835616,0.106438356164384,0.106438356164384,0,"bl",NA,3,NA,NA,50,22.5,1,35.5,"bc"
15,"covid BLM","covid","BLM",82,50,1,0.5,0.224657534246575,0.275342465753425,0.275342465753425,0,"l",3,3,0,1,47.5,58.5,15,42.5,"ac"
15,"covid presBiden","covid","presBiden",241,50,1,0.5,0.66027397260274,-0.16027397260274,0.16027397260274,1,"l",3,11,8,1,55,81,47.5,40,NA
15,"firstStim georgeFloyd","firstStim","georgeFloyd",59,70,1,0.7,0.161643835616438,0.538356164383562,0.538356164383562,0,"l",9,4,-5,0,65,60,40,45,"ac"
15,"georgeFloyd RBG","georgeFloyd","RBG",116,50,1,0.5,0.317808219178082,0.182191780821918,0.182191780821918,1,"al",4,6,2,1,60,25,0,65,NA
15,"georgeFloyd trumpFraud","georgeFloyd","trumpFraud",166,60,1,0.6,0.454794520547945,0.145205479452055,0.145205479452055,1,"al",4,12,8,1,65,30,0,90,NA
15,"kobe covid","kobe","covid",44,60,1,0.6,0.120547945205479,0.479452054794521,0.479452054794521,0,"bl",5,3,-2,0,57.5,83.5,10,47.5,"bc"
15,"kobe firstStim","kobe","firstStim",60,80,1,0.8,0.164383561643836,0.635616438356164,0.635616438356164,0,"bl",5,9,4,1,45,75,40,15,"bc"
15,"kobe RBG","kobe","RBG",235,50,1,0.5,0.643835616438356,-0.143835616438356,0.143835616438356,1,"l",5,6,1,1,40,40,0,35,NA
